measure_0,measure_1,measure_2,measure_3,measure_4,measure_5,measure_6,measure_7
10.00018572262613,10.700401074286038,11.401264507331824,12.100059036866483,12.80167846489923,13.500649211450753,14.198415544411263,14.899115206843488
10.299964642342575,10.99901700257284,11.700752613519148,12.400736435824982,13.09959039048618,13.800797388617962,14.499299827581499,15.199691240081878
10.600639028624222,11.300130208237626,11.999256064612243,12.700385130188339,13.400832105134597,14.101626075987056,14.798938282957897,15.50102924074764
10.900508107585733,11.60163952723926,12.301176308870664,12.999663010711089,13.698679436755778,14.398236528430175,15.100939285907147,15.801703400164795
11.199564880161256,11.899101693443255,12.59943735894474,13.299776202508713,13.997481126792579,14.699863777338386,15.401939430476164,16.099638780863668
11.499655656488281,12.201558467328953,12.899032813243382,13.59966537859997,14.300551936860886,15.000257858399973,15.69973312640326,16.399550054282013
11.798727144870725,12.500016453723836,13.200236033786648,13.899414485580143,14.598921219899008,15.299062057746841,16.000937358955746,16.69956210230216
12.099275898791195,12.800756931979462,13.498398267959,14.198318824169396,14.901112690056191,15.600940682597225,16.30128633532911,16.998738513015365
12.40203477531053,13.098875941109254,13.80049547936921,14.500703276403483,15.20052602297824,15.899451647118427,16.59990232641478,17.29991257030385
12.701087742535243,13.400762636603618,14.099494000237138,14.799160962951493,15.499412985650297,16.20049894640552,16.900051360765612,17.5985528592368
13.00007453090611,13.699786027374122,14.398974831955458,15.098615380458877,15.802232330399697,16.49943998419845,17.199846846354163,17.900700008583616
13.298516591815638,14.000535658857682,14.700325617058406,15.39963240651671,16.10044440457003,16.798939127532883,17.499889294644976,18.20036576648814
13.599508777078299,14.299640717139475,15.000259160891991,15.700668971103513,16.39777630234239,17.100210490032605,17.80000808481186,18.49820707853317
13.901541672079906,14.598053113550732,15.298337523832107,16.001453828778146,16.70036424315206,17.39988189575218,18.100360410299665,18.799567989037254
14.200357096560369,14.900252355427602,15.599547105203724,16.30003588411583,16.99912623098189,17.700038469427707,18.399465511150822,19.09905747773271
14.498580763364725,15.201035243384222,15.900494839796107,16.600285237446798,17.300348263655707,17.999852946424046,18.700562201612986,19.40087701039016
14.801528090123544,15.500818351042101,16.200743383568465,16.89989614658546,17.602189412516204,18.299326849717506,19.001023268331586,19.69903743923621
15.101225142643676,15.799514900926297,16.498385478848387,17.201138668562418,17.900342059490292,18.598986065036186,19.300868065628887,20.000623393594573
15.39996490176736,16.099718733318632,16.799900775780007,17.500182675750718,18.19958706728893,18.900556775126894,19.59924322433578,20.300019076970862
15.698574368712123,16.400896040007783,17.098755713015077,17.801317978771632,18.499556716909897,19.20188270790189,19.90166686483548,20.59854905598346
16.00149403724305,16.700017330639234,17.399401984056762,18.101520117434173,18.801355396711784,19.50115148636071,20.20104119428465,20.90171226295332
16.30133133138302,16.99936172508954,17.699123510278138,18.40034382113112,19.100099219047888,19.80163386716688,20.50056181533996,21.198083784580145
16.598487476714702,17.2973435799903,17.99926296035614,18.70062784139878,19.400223746370717,20.10056274874066,20.800163981367874,21.501463905187926
16.89904362670201,17.599821031280943,18.301485234708082,18.998119304444057,19.698874120401456,20.40115403595096,21.101574645141312,21.80066617119847
17.199251950844367,17.901256976842582,18.599381458449788,19.29940639730163,19.999753342096124,20.700686660147944,21.399795936087166,22.10055683219319
17.49803812054809,18.20098414381354,18.901145478589832,19.600625607751287,20.30042106920274,20.9992192578562,21.700976933000867,22.398762269385486
17.79898507623289,18.49862752016133,19.199511739957313,19.900653942579257,20.60237313370203,21.29922267331337,21.99772363052401,22.700324456498116
18.098993655779314,18.800538811799278,19.500777611247674,20.200056623744754,20.900382530650976,21.599077771505872,22.30026313212166,22.999982862400646
18.39996893404912,19.100335855373,19.799110497775633,20.49995943559754,21.20044947538129,21.901164611507163,22.598754861103195,23.298407844482824
18.698918767555796,19.400910445383264,20.10012191363756,20.800613618879986,21.49827344788456,22.20060309303918,22.899929984135944,23.598735228476592
19.000948986246954,19.70019969337922,20.400232754975036,21.10074752185524,21.799271349523355,22.500072697231012,23.19947247794908,23.899914841491448
19.298842811984898,19.99983231856503,20.701367975698815,21.400825153242668,22.101544423825747,22.800384643505293,23.49985773187807,24.199205516615798
19.599439951193514,20.301830767277302,20.99856353490829,21.699280484964795,22.40027742813843,23.100413751957838,23.799595800994606,24.498962324092
19.901191079663686,20.599891188343474,21.299721956730277,21.99943338095319,22.70015179365676,23.401014341223018,24.100072094227123,24.800603838760548
20.20005351425721,20.90043184915558,21.5989473370136,22.298857580172143,23.000229581128266,23.699897276905983,24.399183252326953,25.10018733072634
20.498484561619755,21.200367355685245,21.902041248999044,22.599971324973037,23.300490348041002,23.999013356504573,24.700417630380876,25.401512999691285
